date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:49	805/805	---M--	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202016%2011:47:50%20GMT	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/set.html	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/set.html	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/)
15:47:49	718/718	---M--	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202016%2011:47:51%20GMT	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/sound.html	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/sound.html	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/)
15:47:50	906/906	---M--	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202016%2011:47:51%20GMT	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/stack.html	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/stack.html	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/)
15:47:50	1383/1383	---M--	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202016%2011:47:51%20GMT	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/tokenscanner.html	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/tokenscanner.html	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/)
15:47:50	850/850	---M--	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202016%2011:47:52%20GMT	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/vector.html	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/vector.html	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/)
15:47:51	1864/1864	---M--	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202016%2011:47:52%20GMT	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/console-h.html	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/console-h.html	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/console.html)
15:47:51	2761/2761	---M--	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202016%2011:47:52%20GMT	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/direction-h.html	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/direction-h.html	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/direction.html)
15:47:51	1474/1474	---M--	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202016%2011:47:53%20GMT	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/error-h.html	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/error-h.html	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/error.html)
15:47:52	13451/13451	---M--	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202016%2011:47:53%20GMT	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/filelib-h.html	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/filelib-h.html	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/filelib.html)
15:47:52	7302/7302	---M--	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202016%2011:47:53%20GMT	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/foreach-h.html	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/foreach-h.html	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/foreach.html)
15:47:52	3134/3134	---M--	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202016%2011:47:54%20GMT	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/gmath-h.html	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/gmath-h.html	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/gmath.html)
15:47:53	1943/1943	---M--	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202016%2011:47:54%20GMT	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/random-h.html	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/random-h.html	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/random.html)
15:47:53	2064/2064	---M--	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202016%2011:47:54%20GMT	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/simpio-h.html	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/simpio-h.html	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/simpio.html)
15:47:53	7468/7468	---M--	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202016%2011:47:55%20GMT	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/strlib-h.html	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/strlib-h.html	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/strlib.html)
15:47:54	7385/7385	---M--	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202016%2011:47:55%20GMT	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/thread-h.html	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/thread-h.html	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/thread.html)
